Shimmer_8663_TimestampSync_Unix_CAL,Shimmer_8663_Accel_LN_X_LPF_CAL,Shimmer_8663_Accel_LN_Y_LPF_CAL,Shimmer_8663_Accel_LN_Z_LPF_CAL,Shimmer_8663_ECGtoHR_LA_RA_LPF_CAL,Shimmer_8663_ECGtoHR_LL_LA_LPF_CAL,Shimmer_8663_ECGtoHR_LL_RA_LPF_CAL
ms,m/(s^2),m/(s^2),m/(s^2),BPM,BPM,BPM
1.71E+12,2.53842528,10.65108474,4.72933843,80.74679631,82.93047989,81.54686716
1.71E+12,2.538043571,10.65169667,4.728628446,80.73968781,82.89047119,81.53552728
1.71E+12,2.53764265,10.65233205,4.727884524,80.73220747,82.84842718,81.52361052
1.71E+12,2.537222272,10.65299083,4.727106196,80.72434659,82.80430381,81.51110439
1.71E+12,2.536782249,10.65367289,4.726293066,80.71609693,82.75805969,81.49799718
1.71E+12,2.536322439,10.65437805,4.725444843,80.70745077,82.70965635,81.48427796
1.71E+12,2.535842757,10.65510605,4.724561344,80.6984009,82.65905844,81.46993672
1.71E+12,2.535343189,10.65585663,4.723642506,80.68894071,82.60623391,81.45496438
1.71E+12,2.534823788,10.65662947,4.722688379,80.67906422,82.55115427,81.43935286
1.71E+12,2.534284674,10.65742422,4.721699117,80.6687661,82.49379473,81.42309514
1.71E+12,2.533726053,10.65824044,4.720674979,80.65804171,82.43413444,81.40618531
1.71E+12,2.533148224,10.65907762,4.719616329,80.64688715,82.37215662,81.3886186
1.71E+12,2.532551557,10.65993516,4.718523641,80.63529929,82.30784877,81.37039148
1.71E+12,2.531936492,10.66081238,4.717397498,80.62327578,82.2412028,81.35150166
1.71E+12,2.53130355,10.6617085,4.716238577,80.61081513,82.17221517,81.33194812
1.71E+12,2.530653334,10.66262267,4.715047649,80.59791666,82.10088705,81.31173121
1.71E+12,2.529986547,10.663554,4.713825595,80.58458059,82.02722439,81.29085261
1.71E+12,2.529303986,10.6645015,4.712573409,80.57080804,81.95123806,81.26931539
1.71E+12,2.528606548,10.66546414,4.71129224,80.55660103,81.8729439,81.24712406
1.71E+12,2.527895213,10.66644079,4.709983384,80.54196254,81.79236282,81.22428453
1.71E+12,2.527171035,10.66743025,4.708648274,80.52689646,81.70952082,81.20080418
1.71E+12,2.526435175,10.66843124,4.70728847,80.51140767,81.62444905,81.17669183
1.71E+12,2.525688911,10.66944251,4.705905643,80.49550198,81.5371838,81.15195778
