Shimmer_8663_TimestampSync_Unix_CAL,Shimmer_8663_Accel_LN_X_LPF_CAL,Shimmer_8663_Accel_LN_Y_LPF_CAL,Shimmer_8663_Accel_LN_Z_LPF_CAL,Shimmer_8663_ECGtoHR_LA_RA_LPF_CAL,Shimmer_8663_ECGtoHR_LL_LA_LPF_CAL,Shimmer_8663_ECGtoHR_LL_RA_LPF_CAL
ms,m/(s^2),m/(s^2),m/(s^2),BPM,BPM,BPM
1.71E+12,1.826030519,11.03534822,2.975564969,83.47826087,83.47826087,87.27272727
1.71E+12,1.826027493,11.03553301,2.975367816,83.47826087,83.47826087,87.27272727
1.71E+12,1.826024207,11.03572606,2.97516108,83.47826087,83.47826087,87.27272727
1.71E+12,1.826020621,11.03592749,2.974944611,83.47826087,83.47826087,87.27272423
1.71E+12,1.826016683,11.03613738,2.974718296,83.47826087,83.47826087,87.27271156
1.71E+12,1.826012348,11.0363558,2.974482033,83.47825978,83.47826087,87.27268196
1.71E+12,1.826007584,11.0365828,2.974235734,83.47825524,83.47826004,87.27262728
1.71E+12,1.826002364,11.03681841,2.973979331,83.47824461,83.4782566,87.27253857
1.71E+12,1.825996679,11.03706266,2.973712792,83.478225,83.47824855,87.272406
1.71E+12,1.82599053,11.03731553,2.9734361,83.47819318,83.47823369,87.27221876
1.71E+12,1.825983908,11.03757699,2.973149267,83.47814563,83.47820957,87.2719651
1.71E+12,1.825976806,11.03784698,2.972852346,83.47807847,83.47817353,87.27163218
1.71E+12,1.82596921,11.03812544,2.972545401,83.47798748,83.47812263,87.27120608
1.71E+12,1.825961099,11.03841228,2.972228549,83.47786807,83.47805367,87.2706717
1.71E+12,1.825952446,11.0387074,2.971901937,83.47771523,83.47796317,87.27001271
1.71E+12,1.825943224,11.03901071,2.971565734,83.47752354,83.47784733,87.26921149
1.71E+12,1.825933402,11.03932208,2.971220158,83.47728717,83.47770206,87.26824905
1.71E+12,1.825922952,11.03964136,2.97086544,83.47699977,83.47752291,87.26710501
1.71E+12,1.825911854,11.03996838,2.970501833,83.47665455,83.47730509,87.26575748
1.71E+12,1.82590009,11.04030297,2.97012962,83.47624419,83.47704345,87.26418306
1.71E+12,1.82588764,11.0406449,2.969749119,83.47576084,83.47673244,87.26235671
1.71E+12,1.825874491,11.04099395,2.969360686,83.4751961,83.47636611,87.26025179
1.71E+12,1.825860638,11.04134986,2.968964708,83.47454099,83.47593809,87.25783991
1.71E+12,1.825846065,11.04171234,2.968561604,83.47378597,83.4754416,87.25509097
1.71E+12,1.825830758,11.04208112,2.968151827,83.47292084,83.47486936,87.25197307
1.71E+12,1.825814717,11.04245587,2.967735857,83.47193481,83.47421369,87.24845247
1.71E+12,1.825797946,11.04283626,2.967314191,83.47081643,83.47346638,87.24449361
1.71E+12,1.825780458,11.04322195,2.966887345,83.4695536,83.47261876,87.24005903
1.71E+12,1.825762276,11.04361259,2.966455847,83.46813358,83.47166168,87.23510941
1.71E+12,1.825743432,11.04400779,2.966020237,83.46654291,83.47058545,87.22960352
1.71E+12,1.825723957,11.04440716,2.96558108,83.4647675,83.46937989,87.22349826
1.71E+12,1.825703882,11.04481031,2.96513896,83.46279257,83.46803432,87.21674865
1.71E+12,1.825683237,11.04521681,2.964694466,83.46060264,83.46653752,87.20930787
1.71E+12,1.825662048,11.04562623,2.964248191,83.45818158,83.46487779,87.20112729
1.71E+12,1.825640336,11.04603816,2.963800753,83.45551261,83.46304288,87.1921565
1.71E+12,1.825618139,11.04645216,2.963352798,83.45257827,83.46102008,87.1823434
1.71E+12,1.825595502,11.0468678,2.962904983,83.44936048,83.45879616,87.17163422
1.71E+12,1.825572462,11.04728463,2.96245796,83.44584057,83.45635742,87.15997366
1.71E+12,1.825549056,11.0477022,2.962012389,83.44199923,83.45368969,87.14730493
1.71E+12,1.82552533,11.04812003,2.96156893,83.43781664,83.45077836,87.13356987
1.71E+12,1.825501341,11.04853768,2.961128237,83.43327242,83.4476084,87.11870908
